schema,KPI_Label,Formula,KPI_Name,Properties_Key,report_name,Schema_Original,Description
apn,APN Released IPv4-In-IPv6 Sessions,(%pdn-ipv4v6-relsess%),kpi_APN_Released_IPv4_In_IPv6_Sessions,wrnApnAggIPv4IPv6Sessions,StarOS APN Aggregate IPv4-In-IPv6 Sessions Statistics,APN,APN Released IPv4-In-IPv6 Sessions
apn,APN Active IPv6 Sessions,(%pdn-ipv6-actsess%),kpi_APN_Active_IPv6_Sessions,wrnApnAggIPv6Sessions,StarOS APN Aggregate IPv6 Sessions Statistics,APN,APN Active IPv6 Sessions
apn,APN Setup IPv6 Sessions,(%pdn-ipv6-setupsess%),kpi_APN_Setup_IPv6_Sessions,wrnApnAggIPv6Sessions,StarOS APN Aggregate IPv6 Sessions Statistics,APN,APN Setup IPv6 Sessions
apn,APN Released IPv6 Sessions,(%pdn-ipv6-relsess%),kpi_APN_Released_IPv6_Sessions,wrnApnAggIPv6Sessions,StarOS APN Aggregate IPv6 Sessions Statistics,APN,APN Released IPv6 Sessions
apn,APN Allocated IPv6 Addresses From Stateless Auto-Configuration,(%addr-ipv6-stateless-autocnf%),kpi_APN_Allocated_IPv6_Addresses_From_Stateless_Auto_Configuration,wrnApnAggIPv6Sessions,StarOS APN Aggregate IPv6 Sessions Statistics,APN,APN Allocated IPv6 Addresses From Stateless Auto-Configuration
apn,APN IP Input Miscellaneous Packets Dropped,(%inmisc-pkt-drop%),kpi_APN_IP_Input_Miscellaneous_Packets_Dropped,wrnApnAggMiscellaneous,StarOS APN Aggregate Miscellaneous Statistics,APN,APN IP Input Miscellaneous Packets Dropped
apn,APN IP Input Miscellaneous Bytes Dropped,(%inmisc-byte-drop%),kpi_APN_IP_Input_Miscellaneous_Bytes_Dropped,wrnApnAggMiscellaneous,StarOS APN Aggregate Miscellaneous Statistics,APN,APN IP Input Miscellaneous Bytes Dropped
apn,APN IP Output Miscellaneous Packets Dropped,(%outmisc-pkt-drop%),kpi_APN_IP_Output_Miscellaneous_Packets_Dropped,wrnApnAggMiscellaneous,StarOS APN Aggregate Miscellaneous Statistics,APN,APN IP Output Miscellaneous Packets Dropped
apn,APN IP Output Miscellaneous Bytes Dropped,(%outmisc-byte-drop%),kpi_APN_IP_Output_Miscellaneous_Bytes_Dropped,wrnApnAggMiscellaneous,StarOS APN Aggregate Miscellaneous Statistics,APN,APN IP Output Miscellaneous Bytes Dropped
apn,APN UE-Initiated Modified Bearers,(%mod-uebear%),kpi_APN_UE_Initiated_Modified_Bearers,wrnApnAggModifiedBearers,StarOS APN Aggregate Modified Bearers Statistics,APN,APN UE-Initiated Modified Bearers
apn,APN Network-Initiated Modified Bearers,(%mod-nwbear%),kpi_APN_Network_Initiated_Modified_Bearers,wrnApnAggModifiedBearers,StarOS APN Aggregate Modified Bearers Statistics,APN,APN Network-Initiated Modified Bearers
apn,APN Failed UE-Initiated Modified Bearers,(%ue-init-modfail%),kpi_APN_Failed_UE_Initiated_Modified_Bearers,wrnApnAggModifiedBearers,StarOS APN Aggregate Modified Bearers Statistics,APN,APN Failed UE-Initiated Modified Bearers
apn,APN Failed Network-Initiated Modified Bearers,(%nw-init-modfail%),kpi_APN_Failed_Network_Initiated_Modified_Bearers,wrnApnAggModifiedBearers,StarOS APN Aggregate Modified Bearers Statistics,APN,APN Failed Network-Initiated Modified Bearers
apn,APN IP Input Exceeded MBR Packets Dropped,(%inexcd-mbr-pkt-drop%),kpi_APN_IP_Input_Exceeded_MBR_Packets_Dropped,wrnApnAggPacketsDroppedData,StarOS APN Aggregate Packets Dropped Data Statistics,APN,APN IP Input Exceeded MBR Packets Dropped
apn,APN IP Input Exceeded GBR Packets Dropped,(%inexcd-gbr-pkt-drop%),kpi_APN_IP_Input_Exceeded_GBR_Packets_Dropped,wrnApnAggPacketsDroppedData,StarOS APN Aggregate Packets Dropped Data Statistics,APN,APN IP Input Exceeded GBR Packets Dropped
apn,APN IP Input Exceeded AMBR Packets Dropped,(%inexcd-ambr-pkt-drop%),kpi_APN_IP_Input_Exceeded_AMBR_Packets_Dropped,wrnApnAggPacketsDroppedData,StarOS APN Aggregate Packets Dropped Data Statistics,APN,APN IP Input Exceeded AMBR Packets Dropped
apn,APN IP Output Exceeded MBR Packets Dropped,(%outexcd-mbr-pkt-drop%),kpi_APN_IP_Output_Exceeded_MBR_Packets_Dropped,wrnApnAggPacketsDroppedData,StarOS APN Aggregate Packets Dropped Data Statistics,APN,APN IP Output Exceeded MBR Packets Dropped
apn,APN IP Output Exceeded GBR Packets Dropped,(%outexcd-gbr-pkt-drop%),kpi_APN_IP_Output_Exceeded_GBR_Packets_Dropped,wrnApnAggPacketsDroppedData,StarOS APN Aggregate Packets Dropped Data Statistics,APN,APN IP Output Exceeded GBR Packets Dropped
apn,APN IP Output Exceeded AMBR Packets Dropped,(%outexcd-ambr-pkt-drop%),kpi_APN_IP_Output_Exceeded_AMBR_Packets_Dropped,wrnApnAggPacketsDroppedData,StarOS APN Aggregate Packets Dropped Data Statistics,APN,APN IP Output Exceeded AMBR Packets Dropped
