additive_terms,additive_terms_lower,additive_terms_upper,anomalies_type,daily,daily_lower,daily_upper,is_anomaly,is_outlier,is_predicted_anomaly,is_predicted_outlier,lowerBound,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,predicted,predicted_anomalies_type,trend,trend_lower,trend_upper,upperBound,weekly,weekly_lower,weekly_upper,accuracy,anomalies_count,anomalies_percent,timestamp,seasonality,overall_trend,_RDA_Id,job_name,status,reason,count_,anomalies,anomalies_severity,anomaly_score,cluster,all-baseline,value,baseline,__uuid
-557650.3037012999,-557650.3037012999,-557650.3037012999,0,-296692.9265045316,-296692.9265045316,-296692.9265045316,No,No,No,No,15426349.903162584,0.0,0.0,0.0,16677936.66,0,17235586.961643912,17235586.961643912,17235586.961643912,17939780.27377952,-260957.3771967684,-260957.3771967684,-260957.3771967684,67.98,56,15.51,2022-04-07T00:00:00,"Daily, Weekly",Decreasing,174158378235500124b24ce450,default,Success,,1,,,,,16829853.0,16829853.0,16829853.0,247afc25-a348-4c39-8a24-81386717b279
-72381.09641770586,-72381.09641770586,-72381.09641770586,0,150498.7058570433,150498.7058570433,150498.7058570433,No,No,No,No,15907865.559960574,0.0,0.0,0.0,17164689.15,0,17237070.246161062,17237070.246161062,17237070.246161062,18475874.84429957,-222879.8022747492,-222879.8022747492,-222879.8022747492,67.98,56,15.51,2022-04-06T20:00:00,"Daily, Weekly",Decreasing,174158378235500125b24ce450,default,Success,,1,,,,,16821154.0,16821154.0,16821154.0,cf4d648d-a699-4131-8729-a7f7aba487a5
-73120.66210804947,-73120.66210804947,-73120.66210804947,0,75488.1115138556,75488.1115138556,75488.1115138556,No,No,No,No,15920056.150973875,0.0,0.0,0.0,17165432.87,0,17238553.530678213,17238553.530678213,17238553.530678213,18439696.959946588,-148608.7736219051,-148608.7736219051,-148608.7736219051,67.98,56,15.51,2022-04-06T16:00:00,"Daily, Weekly",Decreasing,174158378235500126b24ce450,default,Success,,1,,,,,17406974.0,17406974.0,17406974.0,4f91952d-062c-413a-82af-511ef7606632
-32288.840572814268,-32288.840572814268,-32288.840572814268,0,16602.192496993102,16602.192496993102,16602.192496993102,No,No,No,No,15926807.43069033,0.0,0.0,0.0,17207747.97,0,17240036.815195367,17240036.815195367,17240036.815195367,18395055.78231104,-48891.03306980738,-48891.03306980738,-48891.03306980738,67.98,56,15.51,2022-04-06T12:00:00,"Daily, Weekly",Decreasing,174158378235500127b24ce450,default,Success,,1,,,,,16918225.0,16918225.0,16918225.0,5a652e34-2c2f-46b4-8ce0-beb2d04c21a9
220503.71952354207,220503.71952354207,220503.71952354207,0,159272.9507197365,159272.9507197365,159272.9507197365,No,No,No,No,16286906.442317598,0.0,0.0,0.0,17462023.82,0,17241520.09984543,17241520.09984543,17241520.09984543,18722515.39858521,61230.76880380567,61230.76880380567,61230.76880380567,67.98,56,15.51,2022-04-06T08:00:00,"Daily, Weekly",Decreasing,174158378235500128b24ce450,default,Success,,1,,,,,17177573.0,17177573.0,17177573.0,065e6d52-b6f4-42b5-ab07-548d25aaeb2f
59725.72216699918,59725.72216699918,59725.72216699918,0,-105169.03408613324,-105169.03408613324,-105169.03408613324,No,No,No,No,16028765.748407248,0.0,0.0,0.0,17302729.11,0,17243003.3844955,17243003.3844955,17243003.3844955,18512090.64413007,164894.7562531324,164894.7562531324,164894.7562531324,67.98,56,15.51,2022-04-06T04:00:00,"Daily, Weekly",Decreasing,174158378235500129b24ce450,default,Success,,1,,,,,16595062.0,16595062.0,16595062.0,c6aca3de-0388-40f7-91dc-8f343c180b43
-50464.36989719192,-50464.36989719192,-50464.36989719192,0,-296692.9265047395,-296692.9265047395,-296692.9265047395,No,No,No,No,16065382.77870846,0.0,0.0,0.0,17194022.3,0,17244486.669145565,17244486.669145565,17244486.669145565,18471832.636999138,246228.5566075476,246228.5566075476,246228.5566075476,67.98,56,15.51,2022-04-06T00:00:00,"Daily, Weekly",Decreasing,174158378235500130b24ce450,default,Success,,1,,,,,17008692.0,17008692.0,17008692.0,f0b5f995-68ed-463d-8af1-c17a26f3b50b
443481.6930496085,443481.6930496085,443481.6930496085,0,150498.7058573455,150498.7058573455,150498.7058573455,No,No,No,No,16408487.188345475,0.0,0.0,0.0,17689451.65,0,17245969.95379563,17245969.95379563,17245969.95379563,19010871.03815153,292982.9871922629,292982.9871922629,292982.9871922629,67.98,56,15.51,2022-04-05T20:00:00,"Daily, Weekly",Decreasing,174158378235500131b24ce450,default,Success,,1,,,,,16581441.5,16581441.5,16581441.5,a9131632-3a35-43ef-968f-4fc9e61021c9
374004.6416533782,374004.6416533782,374004.6416533782,0,75488.1115149872,75488.1115149872,75488.1115149872,No,No,No,No,16423961.585741105,0.0,0.0,0.0,17621457.88,0,17247453.238445695,17247453.238445695,17247453.238445695,18968754.69178682,298516.5301383909,298516.5301383909,298516.5301383909,67.98,56,15.51,2022-04-05T16:00:00,"Daily, Weekly",Decreasing,174158378235500132b24ce450,default,Success,,1,,,,,16572230.5,16572230.5,16572230.5,cb57fee3-d136-4362-9cc7-eccab82f9da7
279381.1821056459,279381.1821056459,279381.1821056459,0,16602.192496358588,16602.192496358588,16602.192496358588,No,No,No,No,16161411.592126831,0.0,0.0,0.0,17528317.71,0,17248936.52309576,17248936.52309576,17248936.52309576,18748517.82307056,262778.9896092873,262778.9896092873,262778.9896092873,67.98,56,15.51,2022-04-05T12:00:00,"Daily, Weekly",Decreasing,174158378235500133b24ce450,default,Success,,1,,,,,17678135.5,17678135.5,17678135.5,c13be3f6-f0bf-48dc-9b06-42d14f97fed6
